,caption
92,Every order this weekend results in the clear up of 1kg of plastics from the ocean🌊🌊🌊
93,"Starts 9 am today!
1 Tee = 1 kg this weekend! For every order we will remove 1kg of ocean plastic.

#mygarden #sustainability #mygardenismyhappyplace #garden #gardening #petalandleaf #giftsforgardeners #sustainablefashion #gardeningtshirts #gardeninggifts #sustainableliving @teemillstore #oceanconservation #oceancleanup #oceanplastic"
94,"1 Tee = 1 kg this weekend! For every order we will remove 1kg of ocean plastic.

#mygarden #sustainability #mygardenismyhappyplace #garden #gardening #petalandleaf #giftsforgardeners #sustainablefashion #gardeningtshirts #gardeninggifts #sustainableliving @teemillstore #oceanconservation #oceancleanup #oceanplastic"
95,"teamwork with the crew to organize all of the trash removed during our beach cleanup🤙🏼 this day we removed over 60 pounds!

.
.
.
#lbcleanup #longbeachny #citybythesea  #volunteer #makeadifference #lbny #cleanup #longbeach #longislandlife #11561 #lbny11561 #nassaucounty #pointlookoutny #coastalcleanup #oceanconservation #beachvibes #longislandny #longisland #lbnynotcalifornia #sunsets #longbeachnynotcalifornia #oceancleanup #oceanlovers #beachcleanup #atlanticbeachny #discoverlongisland #longislandbeaches"
96,"✖️Sea World Ocean Clean Up Day

✖️ #seaworldaus recently held another successful Sea World Foundation Ocean Clean Up Day! 🙌

🗑 Volunteers collected over 170 bags of rubbish equating to 400kgs of rubbish removed from above and below the water.
🎣 Incredibly, 43.5kg of fishing line, hooks and sinkers were removed from the seaway by 126 divers. 

Thank you to everyone who attended and continue to support the Sea World Foundation!"
97,"Imagine....

what we can achieve together. 

Every single order placed on our site from Friday 21st to midnight on Sunday 23rd gets 1kg... yes 1kg of plastic removed from our oceans. 

We will be posting images of this event so you can see the fantastic work being done and what you have contributed towards. 

Link in bio to our site. 

#oceancleanup #ocean #sea #plastic #ecofriendly #environmentallyfriendly #environment #environmental #fashion #mensfashion #clothing #sustainable #sustainablefashion #vegan #womensclothing #kidsclothing #wildlife #nature #savewildlife #saveourseas #plasticfree #savetheearth #recycle #reuse #singleuseplastic #love #weekend #weekendvibes"
98,"Another successful dive of pulling 550 feet of fishing line, just under 100 lbs of toxic lead fishing weights, and random objects like a small radio, cans, spark plugs, and other trash items!

With help from Island Divers Hawai'i, Oahu's Spitting Caves was relieved of toxic fishing debris. 🎉

Head to the link in bio to read all about it!

--
#oceandefenders #debrisfreesea #hawaii #oahu #oceancleanup#fishingrope #ghostgear #brilliant #cleanup #marineconservation #sealife #saveourseas #turningthetide #plasticocean #plasticpollution #solution #nobluenogreen #oceanlove"
99,"Take a look at some photos from yesterday's cleanup in Foster City at the Metro Center! 

Collectively,  24 lbs of trash, 8 lbs of recycling, and ~5400 cigarette butts were collected. Amazing work everyone! 

If you want to join the next Foster City cleanup, or any other PBC-led events, check out our monthly calendar tab in the link in our bio.
.
.
.
.
#trashpicking #saveouroceans #keeptheseaplasticfree #bayareabeaches #cleantown #helpourbeach #saynotoplastic #oceanconservation #cleanupcommunity #sanmateocounty #cleanearth #marinelitter #beachcleaning #keepourbeachesclean #beachtrash #littercleanup #oceanpollution #oceancleanup #oceanplastic #plasticpollutes #plasticocean #beachcleanup #breakfreefromplastic #loveearth #marineconservation #pacifica #plasticpollution #savetheocean"
100,"Our mood when we hear that @twolittlefirecrackers @secretharbourcoastalcrew spent this weekend at the WA Beach Cleanup. ⁠
Together they removed 46kg of rubbish from our ocean shores and surrounds 👏🏼⁠
⁠
We love our community getting involved to make a difference #forcleanoceans 💙⁠
⁠
#pipinghotaustralia #groms #oceancleanup #oceanlover #beachcleanup #wabeachcleanup #beachlife #plasticfreemums #zerowaste #targetaustralia"
101,"another 68lbs cleaned off our beaches. unfortunately we filled way too many bags with styrofoam from the construction in the background. happy to keep that out of our oceans. finally a big thank you to the molloy university honor students for stopping by to help out. hope to see you at more events

see everyone next saturday 🤙🏼

.
.
.
#lbcleanup #longbeachny #citybythesea  #volunteer #makeadifference #lbny #cleanup #longbeach #longislandlife #11561 #lbny11561 #nassaucounty #pointlookoutny #coastalcleanup #oceanconservation #beachvibes #longislandny #longisland #lbnynotcalifornia #sunsets #longbeachnynotcalifornia #oceancleanup #oceanlovers #beachcleanup #atlanticbeachny #discoverlongisland #longislandbeaches @molloy_u"
102,"The ocean thanks you🦭🦀🐙🪸🌊

Thank you to all the divers and free divers who joined us in cleaning up the Yacht club.
Loads of rubbish made its way out of the water, 17.1kgs💪 Every little bit adds up 🙃

Well done guys 👍 

📸@tariqnortje

#oceancleanup #diveagainstdebris #falsebaycleanup #PADIAware #ocean #falsebayyatchclub #togetherwecanmakeadifference #plasticfree #saveouroceans #sealifedifferently #piscesdivers"
103,"Another fantastic turnout and team effort at today's WA Beach Clean Up Day organised by Tangaroa Blue. 68 Storm Chasers and helpers from the public hit our coastline hard and cleared a total of 35km of beach and estuary  collecting a combined 120kg of litter and rubbish. What a great effort everyone - thank you!
Also a massive shout out to our sponsors of TRONOX and @cityofbunbury for supporting the crew with a hearty home cooked breakfast, tea & coffee and collection equipment. Mayor Jaysen Miguel was at the forefront of the BBQ to make sure no one goes home hungry.

The Storm Chasers continue to be active and we can all make a big difference. To get in touch and learn more what you can do please visit https://dolphindiscovery.com.au/bunbury-dolphin-discovery-environment-fund/

#sevenregionalwa #tangaroablue #keepaustraliabeautiful #cityofbunbury #bunbury #coastalcleanup #makeadifference #savedolphins #turtles #environment #oceancleanup"
104,"God loves the beaches and the ocean He’s created - we do too! ⁠
Excited to announce that we have partnered with Cleanhub to help reduce the plastic waste problem that pollutes our waters. For each order, we committed to funding the collection and responsible processing of1kg of ocean-bound plastic waste. On average that’s 50x more plastic than we use! ⁠
⁠
We’re working on a shirt design with this in mind so stay tuned ;)"
105,"After four different cleanups of Dragon's Teeth, we brought up 113 pounds, 143 pounds, 95 pounds, & 178 pounds of derelict fishing equipment!

With help from Maui Mantas & Dive Maui, some of Maui's corals were finally relieved of strangling fishing line. 🎉

Head to the link in bio to read all about it!

--
#oceandefenders #debrisfreesea #maui #divemaui #corals #coral #oceancleanup #oceandebris #ghostgear #diving #scubadiving #divelife #uwphotos #marinelife #marineconservartion #nobluenogreen"
106,"64lbs of trash in the books from our beach cleanup yesterday. thanks to everyone who joined and volunteered. @hofstrasoftball and @hofstrawten had a friendly competition to see who could fill more bags. welcome back anytime🤙🏼 see everyone this saturday at our next event

.
.
.
#lbcleanup #longbeachny #citybythesea  #volunteer #makeadifference #lbny #cleanup #longbeach #longislandlife #11561 #lbny11561 #nassaucounty #pointlookoutny #coastalcleanup #oceanconservation #beachvibes #longislandny #longisland #lbnynotcalifornia #sunsets #longbeachnynotcalifornia #oceancleanup #oceanlovers #beachcleanup #atlanticbeachny #discoverlongisland #longislandbeaches"
107,"Happy World Octopus Day 🐙

Did you know the Giant Pacific Octopus is the largest and longest living species of octopus? It has been recorded to be able to weigh more than 600 pounds! 🤯  They are also remarkably intelligent and adaptable. Today we celebrate the existence of one of nature's most iconic sea creatures. 🤩 🌊
·
·
·
·
#RockTheOcean #TortugaFest #FortLauderdale #SouthFL #FloridaLife #FtLauderdaleBeach #OceanConservation #SaveTheSea #EcoFriendly #MarineConservation #TurtleConservation #SharkConservation #CoralReefConservation #SaveOurPlanet #LifeOnTheWater #SaltLife #AnotherDayInParadise #SaveTheOcean #OceanCleanUp #WildlifeConservation #ShorelineCleanUp #ReefLife #InstaReef #ReefConservation #ReefPack #CoralReefClub #BeachCleanUp #WorldOctopusDay"
108,"Out we went again to do our part for the environment. 

Results of the clean-up:
Boat 1
dive 1: 85 items, 4.5kg
dive 2: 48 items, 38kg

Boat 2
dive 1: 147 items, 9.7kg
dive 2: 107 items, 5.4kg

Wondering what they comprise? Fishing lines, mineral water bottles, fish cages and lots of metal debris. 

Special thanks to Jackson Square Aviation for the sponsor and our partners @oursingaporereefs and @coastalnatives.sg! Thank you to the guides volunteers and our S.Crews for making the event a success!

We will be back! Join us at our next clean-up!

#oceancleanup #jacksonsquareaviation #oursingaporereefs #coastalnatives #padidiveagainstdebris #padiaware #padi #thesubmersibles #sscuba #adventours"
109,"At 25 July 2022 the operation in the Pacific Ocean reached an exciting
milestone: The Ocean Cleanup has now officially removed more than 100,000 kg
of plastic from the Great Pacific Garbage Patch (GPGP).

Since deployment in August 2021, System 002 (or ""Jenny"") has now collected
101,353 kg of plastic over 45 extractions, sweeping an area of ocean of over
3000km2 - comparable to the size of Luxembourg or Rhode Island. Added to the
7,173 kg of plastic captured by the previous prototype systems, The Ocean
Cleanup has now collected 108,526 kg of plastic from the GPGP - more than
the combined weight of two and a half Boeing 737-800s, or the dry weight of
a space shuttle!

Now the technology is validated, and is ready to move on to the new and
expanded System 03, which is expected to capture plastic at a rate
potentially 10 times higher than System 002 through a combination of
increased size, improved efficiency, and increased uptime. Our transition to
System 03 is starting soon.

Some #3d insights:

As i describes in my last post, it was quite a challenge to get the
Cloth-Rigid body simulation working.

But to fill up the whole retention zone with thousands of plastic waste
parts was on antoher level.

I actually think i can proudly say i never simulated a larger setup than
this one.

Super proud i was able to throw some physix ropes in there too!

Watch out for them! ;-)

#vray #animation #3dsmax #fluidsimulation #simulation #project #technology
#plastikmüll #plasticwaste #phoenixfd #simulation #fluidsimulation #pacificocean #greatpacificgarbagepatch #oceancleanup"
110,"For the month of October2022, anyone who gets preapproved and any new agents we work with will receive a @4ocean Ocean Sunfish bracelet to pull a pound of trash from the ocean, rivers and coastlines while raising awareness of the effects plastic pollution has on these rare fishes.⁠
⁠
Fun Fact:⁠ They're the heaviest bony fish in the world, weighing on average over 2,000 pounds. They can grow over 10 feet long and more than 8 feet from fin to fin.⁠
⁠
#MoreThanMortgages #OceanSunfish #PlasticFree #4ocean #NewAgents #Preapproved #OceanCleanUp #SaveOurSeas #ClimateChange #SaveThePlanet #SamaritanMortgageGroup"
111,"Help the @4ocean team keep our oceans clean by personalizing your design with a 4ocean plastic. ♻️ 

You can help recover 1lb of plastic & more with every design you customize. 💙"
112,"Beach Clean Up - Clean Up No. 48
Location: Pantai Beserah
Date: 2.10.2022 

Trash collected: 
Mostly single use plastic bottles, cups & food containers, glass bottles, balloons, polystyrene, rope & used diapers 

Weight of trash: 60.5 kg 

Number of heroes: 10 adults (and a kitten!) 

Sponsors: 
@mandurahkuantan
Thank you for having lent us your weighing scales to weigh the trash collected and also for allowing us to use your bin area & to Pn. Ain for getting the word out to all the staff volunteers today. 

Fabulous volunteers and Mandurah Hotel staff joined the clean up at Beserah Beach today. There was a lot of plastic waste and picnic waste left on the beach. Also a lot of old trash washed in by the tide. 

A couple of kids (a 4 year old and a toddler) saw us cleaning and walked up to us with their father in tow to help 🥰👍. If they can do it, you can too!

Together, we can make a difference! 

If you would like to volunteer at our next clean up, look out for updates on our IG or FB page. If you would like to sponsor bags, pickers or tshirts for our volunteers (or anything else which may aid our clean ups), please drop us a message. Thank you 🙏 

#stoplittering #litterpick #environment #awareness #wastedisposal #responsibledisposal #savetheenvironment #nosingleuseplastic #stopplasticpollution #sustainability #ecowarriors #ecovolunteers #eastcoast #beachcleanup #oceancleanup #kutipsampah #sukarelawan #alamsekitar #wirakebersihan #pantaitimur #kuantan #beserahbeach #pantaibeserah #mandurahhotel #mandurah #trashherokuantan #trashheromalaysia #trashheroworld #trashherokids"
113,"The Ocean Cleanup: tecnología de limpieza marina 🚯🌊

The Ocean Cleanup ha realizado 2 limpiezas marinas, es por eso que para librar al océano de su mayor masa de contaminación, la organización lanza su tercera y más eficiente tecnología de limpieza marina. 

El Gran Parche de Basura del Pacífico (GPGP por sus siglas en inglés) es una gigantesca masa de plástico, redes de pesca y otros desechos no biodegradables fabricados por el hombre que se extiende por el océano entre California y Hawai. Se calcula que su tamaño total es de 1.6 millones de km2 en todo el Océano Pacífico y lleva décadas causando estragos en animales marinos como ballenas, delfines, tortugas, mantas y otros peces. 

Hasta hoy, no ha sido fácil detener su crecimiento, ya que cada año se vierten unos 12 millones de toneladas de plástico en los océanos.

En julio de este año, The Ocean Cleanup informó de que ya habían recogido 108 mil 526 kg de plástico del GPGP utilizando el Sistema 002, esto es aún más que el peso combinado de 2.5 aviones Boeing 737. 

#oceancleanup #noticias #limpiezamarina #medioambiente"
114,"What can 50+ volunteers with a purpose achieve?!

Our ODA Hawaii crew teamed up with Kona Honu Divers & Jack’s Diving Locker for an excellent clean-up. 

Our volunteers totaled 1,000 pounds of debris in just a couple hours!

Head to the link in bio to read about the clean-up AND see an incredible collection of photos that were taken!

--
#oceandefenders #debrisfreesea #hawaii #oceancleanup#fishingrope #ghostgear #brilliant #cleanup #marineconservation #sealife #saveourseas #turningthetide #plasticocean #plasticpollution #solution #nobluenogreen #oceanlove"
115,"Earlier this month a dedicated team of citizens from Townsville, Guthalungra, Bowen and Airlie got together at Kings Beach in Bowen for a macro and macro debris cleanup. 

Our team of 8 collected 12.5kg of trash including 74 lids, 577 pieces of plastic remnants, some fishing equipment, boat parts and some microplastics across 800mtrs of beach! Once again hatched turtle eggs were found on this beach which ultimately is why we think it's important to cleanup our beaches.

All data will be uploaded to @tangaroablue 's Australian Marine Debris Initiative and microplastics (more than 5mm in size) sent to @ausmap_au 

Thanks to the Reef Check Australia team who volunteered their time and of course our 4 legged mascot for the day. This project has received funding support from the Queensland Government’s Community Sustainability Action grant program.

Want to join in the next event? 
Sign up to receive our Enews letter and follow us on socials for regular updates and event locations! 

Our next event in North Queensland will be next weekend (Sunday 2nd Oct) at Forrest Beach. Get in touch with jenni@reefcheckaustralia to get involved!

#beachcleanup #oceancleanup #cleanuptheworld #cleanupcrew #climatechangesolutions #togetherforouroceans #volunteertoprotect #learnmoretodomore #everybitcounts #saveourreefs #marinelife #allhandsondeck #marineconservation #saveouroceans #teamwork #reefcheckaustralia #townsville #bowen #airliebeach #guthalungra"
116,"Reposted from @theoceancleanup We expect to be able to clean the entire Great Pacific Garbage Patch (containing 100,000,000 kg of plastic) using ten systems based on System 03.

Note: this is an animation, not real footage. 
#ocean #oceanconservation #oceancleanup #water #oceanplastic #plasticocean #microplastics"
117,"67lbs of trash, one bicycle and several pieces of the boardwalk benches removed from our beach yesterday. thank you to all of our volunteers that came to help. we host a beach cleanup every weekend now through mid-november. see everyone next weekend🤙🏼

.
.
.
#lbcleanup #longbeachny #citybythesea  #volunteer #makeadifference #lbny #cleanup #longbeach #longislandlife #11561 #lbny11561 #nassaucounty #pointlookoutny #coastalcleanup #oceanconservation #beachvibes #longislandny #longisland #lbnynotcalifornia #sunsets #longbeachnynotcalifornia #oceancleanup #oceanlovers #beachcleanup #atlanticbeachny #discoverlongisland #longislandbeaches"
118,"Every second a grand piano worth of plastic pollution enters the ocean! 

That’s 415 kilos or 914 pounds of plastic per second! 
🚨⏰🚨

#recycle #recycled #recycling #recycledmaterials #recycledart #art #abstractart #contemporaryart #artwork #aiart #aiartists #dalle2 #zerowaste #beachcleanup #beachpollution #oceancleanup #oceanpollution #plastic #plasticpollution #plasticreuse #plasticfree #litter #savetheplanet #savetheocean #savethewhales #savetheturtles #ai #artificialintelligence #redetec3d"
119,"The US Ecology team participated in Texas Adopt-A-Beach day. Nearly 70 team members and their families participated to help clean up beaches in Galveston and Mustang Island, Texas. One group reports removing approximately 500 pounds of plastics waste! The Texas Adopt-A-Beach program is a volunteer effort that began in 1986. This program keeps Texas beaches clean, educates Texans about harmful marine debris and rallies Texas support for state, national and international action to clean coastal waters. #Volunteer #GivingBack #OceanCleanup #BeachCleanup #TexasAdoptaBeach"
120,"Functional - Simple - Luxurious 

Sleep made modern with the Restonic iDream Range.

Save 15% on the Restonic iDream Dream Support Bed Set or Mattress Only.

- Medium Comfort Feel
120kg Max Weight Per Person
Latex Flex Comfort Layer
2 Years Guarantee & 20 Years Warranty

Link in bio

#bedsonline #sleep #dream #restonic #luxury #sleepislife #idream #shoponline #supporttheenvironment #oceancleanup #seaqual"
121,"Back in 2018, The Ocean Cleanup engineered a slow-moving apparatus called System 001 designed to wade through the patch to retrieve garbage with a massive net. The nonprofit, which wants to remove 90 percent of floating plastic by 2040, is now conceptualizing its third iteration of the machine that will be the largest and most efficient model to date.System 002 removed more than 100,000 kilograms of plastic as of July 2022. Read more @theoceancleanup or @colossalmedia #oceancleanup #greatgarbagepatch #recycle #garbagepatchcleanup #savethebay #savetheoceans #savetheplanet #ecofriendly #ecoawareness #oceanplastic #enviromentalawareness #microplastics #plasticproblems #plasticawareness #newportri #plasticrecyclingbreakthroughs"
122,"The Sea Change team spent this morning on the south coast 🌊 taking part in the @mcs_uk Great British Beach Clean Week 🏖  Over a small area of the shoreline, we collected almost 4.5kg of litter ☹ Scroll through to see just a small selection of items that we found ♻️ After our beach clean we enjoyed a fantastic lunch at @chipwickfishandchips, home of award-winning food and a Sea Change Wine stockist 😍🍷 

@MCS_UK @chipwickfishandchips #SeaChangeWine #TurntheTide #OceanConservation #GreatBritishBeachClean #OceanCleanUp #BeachLitter #CleanOceans #BeatPlasticPollution #SustainableLiving #PlasticPollution #ReduceReuseRecycle #ConsciousConsumer #ProductsWithPurpose #PositiveChange"
123,"Ocean Warrior, Iakoba Kirario sorting through plastic baskets and ghost nets. The crew would manually pull out plastic debris from the North Pacific Gyre by hand, sometimes weighing 50-100kg’s+ and would take 2-3 crew members to safely pull the plastic onto deck. Depending on the size, the larger mysterious plastic objects and ghost nets weighing tons would be removed by operating the Kwai crane. 
💪🏽🌊🗺⛴🌏🐠
.
.
.
.
.
#oceancleanup #ghostnets #plastic #oceanconservancy #plasticwastesolutions #fishingnet #northpacificocean #sail #sailing #boat #kwai #savetheoceans #plasticcleanup #plasticpollutes #plasticpollution #plasticpositive"
124,"Plastic Free Cayman and Compass Media showed up for #worldcleanupday! 🤩💪🏼

1150lbs and 125 volunteers later, Colliers Beach is looking ten times better!! Thank you to all the volunteers who participated and to @plastic_free_cayman for organizing the clean-up. 

Keep an eye out for next months clean-up this coming October! We can’t wait to see you there ☀️ 

@worldcleanupday.global 
#compassmedia #caymanislands #cayman 
#plasticfree #caymanislands #plasticfreecayman #singleuse #bansingleuseplastic #beachcleaning #beachcleanup #protectwhatyoulove #teamwork #zerowaste #oceancleanup"
125,"Article on our website: geekriches.com

'The Ocean Cleanup': We expect to be able to clean the entire Great Pacific Garbage Patch (100,000,000kg of plastic)

#theoceancleanup #pacificocean #oceanplastic #oceancleanup #ocean #oceanpollution #nature"
126,"A massive thank you to everyone that turned up for our Beach Cleanup and Mindfulness Morning with @selfawear @humpbacks_and_highrises & @whitney.geoghegan 💙

It was great to see so many people turn up to do their part for their community and environment whilst repping some awesome tees!

Over 70 people collected 43.5kg of rubbish in just 40 minutes! What can seem a clean area can surprise you! 😱

In total there were over 2760 items catalogued with that including close to 1000 cigarette butts, 278 plastic food packaging, 167 hard and solid plastic, 45 aluminium cans and interesting items like watches, car keys and dog bedding! 

We finished with a great breathwork session with Whitney as a perfect way to start our weekends and to de-stress. 🥰

Official photos and videos are on their way and we have loved seeing you tag us in all your stories and posts. #dogoodfeelgood 

If you missed out but would love to contribute to volunteering, 100% of the limited edition Selfawear tee sales go to helping Volunteering programs on the Gold Coast. LINK IN BIO 📲😊"
127,"Big shout out to all those who came and joined us, @umhlangarockssuperspar  and Reid Raetzer Robsons at the beach clean up at Glenashley on Saturday. 
.
.
There was a lot of polystyrene that had to removed from the natural debris and thanks to your effort it did not end up in our oceans. 
.
.
If you couldn't make it please consider donating to the project via our website, www.thelitterboomproject.co.za, so we can continue to make a meaningful impact on the ever increasing amount of marine plastic pollution flowing into our oceans. 
.
.
Just R200 pays for us to clean up 20kgs of plastic. 
.
.
#Parley #ParleyAir #ParleyForTheOceans #OceanConservation #OceanPollution #OceanCleanUp #internationalcoastalcleanup #worldcleanupday #plasticpollution #banpolystyrene"
128,"So that's the first weekend of  @mcs_uk #BigBritishBeachClean challenge done.

We returned to Balchladich today to finish off & removed another 168kg of ropes & plastic from the beach.
Bringing our total for the beach this weekend to 681kg

Thanks to those that turned out to help ! 

#BeachCleanChallenge #beachclean #beach #plasticpollution #plastic #beach #marineconservation #oceancleanup #InternationalCleanupDay"
129,"cheers to a great coastal cleanup day. thanks to everyone who came out for the event. more photos from yesterday soon to come. another 179lbs of trash removed from our beaches🤙🏼 great afterparty @brixxandbarley

thanks @fcousteauolc @surfridercentralli @longbeachnewyorkofficial 

.
.
.
#lbcleanup #longbeachny #citybythesea  #volunteer #makeadifference #lbny #cleanup #longbeach #longislandlife #11561 #lbny11561 #nassaucounty #pointlookoutny #coastalcleanup #oceanconservation #beachvibes #longislandny #longisland #lbnynotcalifornia #sunsets #longbeachnynotcalifornia #oceancleanup #oceanlovers #beachcleanup #atlanticbeachny #discoverlongisland #longislandbeaches"
130,"Cayman showed #worldcleanupday who was boss today!! 🤩💪🏼

1150lbs and 125 volunteers later, Colliers Beach is looking ten times better!! Thank you to all the volunteers who showed up for our environment today and to @compassmediacayman for sponsoring this amazing clean up happen!

Thank you to all the school groups for bringing so much enthusiasm and passion, and to any and all other individuals and groups who came out this morning to make a difference! 

Keep an eye out for next months clean up this coming October! We can’t wait to see you there!! 

@worldcleanupday.global 
#plasticfree #caymanislands #plasticfreecayman #singleuse #bansingleuseplastic #beachcleaning #beachcleanup #protectwhatyoulove #teamwork #zerowaste #oceancleanup"
131,"633,5 kg trash from Roskilde Harbor collected by divers, SUP, kayaks and helpers on land. What an amazing event ♻️🌊 Check out @osomhavet and support their work. We can't wait for next season 👏
.
.
.
.
.
#oceancleanup #osomhavet #jenterpåeventyr #girlsonadventure #outdoormoments #exploremore #outdoorwomen #turjenter #äventyrare #visitroskilde"
132,"Tomorrow is International Coastal Cleanup Day! Are you doing anything to clean up your local shoreline?
 
If the answer is “no” but you want it to be “yes” then come help clean up the Des Moines Marina! You can sign up for a time slot at the link in our bio. Last year we picked up 500 lbs of debris off the beach and out of the ocean, let's beat that number this year!
 
#internationalcoastalcleanup #beachcleanup #PugetSound #SalishSea #oceancleanup @highline_mast_center_aquarium @seattledivetours"
133,"Malaysia Day Beach Clean Up 
Clean Up No. 47
Lokasi: Pantai Pelindung
Tarikh: 16.9.2022 

Jenis sampah yang dikutip: 
Kebanyakkan sampah adalah botol² plastik sekali guna, botol gelas, bekas minuman & makanan plastik, bungkusan makanan, polisterin, tali, dan lampin pakai buang bayi (belambak 'diapers' baby dikutip hari ni) 

Berat sampah yang dikutip: Anggaran 90 kg 

Bilangan wira: 33
• 9 dewasa
• 24 kanak-kanak/remaja 

Sponsor:
 
• Terima kasih @majlisbandarayakuantan & Alam Flora yang telah menyediakan tong roro untuk longgokkan sampah. Terima kasih En. Amri, En. Halbed & Pn. Sabrina yang sentiasa menyokong aktiviti Trash Hero Kuantan 

• KayShoun : Terima kasih sponsor sarung tangan kain 

Pembersihan Pantai Pelindung sempena Hari Malaysia dilakukan bersama-sama Kelab Alam Sekitar Sekolah Menengah Kebangsaan Tengku Afzan. Seramai 20 orang pelajar bersama-sama 4 orang guru turut serta dalam sesi gotong-royong hari ini. Terima kasih kepada Pn. Yani yang telah menolong menyelaraskan sesi gotong royong pada hari ini. 

Turut serta pada hari ini, Ms. Chelsina Kong, Pengerusi Lions Club Indera Mahkota, bersama-sama keluarga, dan Dr. Zafri Azran bersama anak saudara Alya, dari Kelab Go Go Green Pahang. 

Terima kasih diucapkan kepada semua sukarelawan yang hadir. Sama-sama kita pastikan Kuantan terus bersih, cantik & lestari 💛🙏👌 

Jika anda ingin turut serta dalam sesi gotong royong kami, sila pantau FB dan IG Trash Hero Kuantan. Jika anda ingin mendermakan peralatan untuk sesi gotong-royong, sila DM kami di sini. Terima kasih. 

Selamat Hari Malaysia, semua! 
🇲🇾 💛🥳 

#stoplittering #litterpick #environment #awareness #wastedisposal #responsibledisposal #nosingleuseplastic #stopplasticpollution #sustainability #ecowarriors #ecovolunteers #eastcoast #beachcleanup #oceancleanup #kutipsampah #sukarelawan #alamsekitar #wirakebersihan #pantaitimur #kuantan #pantaipelindung #pantaibeserah #merdekacleanup #harimalaysia #malaysiaday #trashherokuantan #trashheromalaysia #trashheroworld #trashherokids"
134,"Functional - Simple - Luxurious 

Sleep made modern with the Restonic iDream Range.

Save 15% on the Restonic iDream Zonal Flex Bed Set or Mattress Only.

- Plush Comfort Feel
- 130kg Max Weight Per Person
- Gel Memory Foam Comfort Layer
- Seaqual Textiles, Supporting Ocean Clean-up
- 3 Years Guarantee & 20 Years Warranty

Link in bio

#bedsonline #sleep #dream #restonic #luxury #sleepislife #idream #shoponline #supporttheenvironment #oceancleanup #seaqual"
135,"what a massive group of volunteers that came out to help at our last sunset beach cleanup of the season. with everyone’s help we removed 151 pounds of trash from our beach in just one hour! @marvelfrozendairy was kind enough to give each volunteer a free icecream last night too. you really made some of those kids day🤙🏼 and to @tobaysandman for building some amazing sand sculptures for us

we now move our beach cleanups to the weekend, starting this saturday 9/17 for international coastal cleanup day. more details to follow

.
.
.
#lbcleanup #longbeachny #citybythesea  #volunteer #makeadifference #lbny #cleanup #longbeach #longislandlife #11561 #lbny11561 #nassaucounty #pointlookoutny #coastalcleanup #oceanconservation #beachvibes #longislandny #longisland #lbnynotcalifornia #sunsets #longbeachnynotcalifornia #oceancleanup #oceanlovers #beachcleanup #atlanticbeachny #discoverlongisland #longislandbeaches"
136,"Thank you to everyone who signed up or showed up for our @shorelinecleanup on Kitsilano Beach!

Our volunteers picked up 14kg of litter over 2km of shoreline, mostly consisting of small pieces of litter and micro plastics!

Cleaning our local beaches not only benefits the marine ecosystems and wildlife that are directly affected by marine waste, but also keeps the spaces clean and pleasant for our community!

We hope to see you all at the next one! Stay tuned!

#oceancleanup #vancouverbeaches #northwestwildlife"
137,"This past June we had the absolute pleasure of teaming up with @townlinehomes to complete a shoreline cleanup project, resulting in close to 7,000kgs of debris being removed from over 42km of shoreline.

Townline reached out to us interested in getting involved in the restoration of our coastal habitats, with the intention of promoting awareness within their company AND being an industry leader.

The founder of Townline has a lifelong relationship with the Ocean through surfing and windsurfing. He has spent his life enjoying the magic the Ocean offers and as their company gets further into its environmental responsibility journey, RCRS seemed like a perfect fit.

This development company has some brilliant initiatives coming down the pipe to help deal with their construction waste. This shoreline project was to put forth resources toward professionals (us) to have an immediate impact. 

For one day of fieldwork, 25 employees joined our crews to learn about the marine debris problem we face and get firsthand experience in the work required to tackle it. 

It was a blast to witness the changes in some of these folks as they experienced the mess we see every day and to hear all the banter of actions they are all planning to take into their lives.

This inspiration for change is why Rugged Coast does what we do, aside from the obvious drive to better our marine environment of course 😉

Thank you Townline!!

🎥 @in_balance_productions 

#protectwhatyoulove #oceancleanup #beachcleanup #townlinehomes #plastics #oceanplastics #marinedebris #saveourseas #bethechange #plasticsfreesea #marinehealth #tofino #westcoastcleanup #pacificgarbagepatch #rcrs #ruggedcoast"
138,"Amazing things can happen when we work together. For every survey you fill out, we will collect an additional 1kg of ocean bound plastic. Complete the Cleanhub survey linked in our bio!"
139,"Did you know?! 

The Litter Ridder is made of recycled plastic bottles. It’s made of the very litter we pick up! 🤣 
The Litter Ridder can hold 62 500ml bottles or 10 lbs of mixed litter. 

Be sure to add your email to the link in our bio to stay updated on when we launch on Kickstarter 🙌
(hint hint… you also get access to the early bird discounted price 👀)"
140,"Oh hey it's just me over here sitting on a pile of 72kgs of plastic I collected off our beaches.

You can often find me nestled amongst plastic, either collecting it, cleaning and sorted it, or creating art with it.

You may screw your face up at it as often it's people's discarded and dirty rubbish.

But I like to see the beauty in all things, and plastic is no exception.
Which is why I enjoy the process of turning all of this into works of art.

I turn sadness into beauty x

Much love, Lorella x

#plastic #plasticart #plasticocean #conservation #seachange #ocean #oceanplastic #beachclean #beachcleanup #zerowaste #plasticfree #artivism #take3forthesea #2minutebeachclean #oceancleanup #earthlove #oceanlove #ocean #gaia #Papatūānuku #pachamama"
